robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,80570,-gneE1,0.5,395,10,2
bot_0,80612,-gneE1,0.5,88,8,2
bot_0,80952,-gneE1,0.5,382,9,2
bot_0,80993,-gneE1,0.5,86,8,2
bot_0,81334,-gneE1,0.5,382,10,2
bot_0,81376,-gneE1,0.5,85,9,2
bot_0,81719,-gneE1,0.5,385,8,2
bot_0,81762,-gneE1,0.5,84,8,2
bot_0,82099,-gneE1,0.5,380,9,2
bot_0,82141,-gneE1,0.5,85,8,2
bot_0,82482,-gneE1,0.5,383,8,2
bot_0,82525,-gneE1,0.5,86,8,2
bot_0,82866,-gneE1,0.5,384,9,2
bot_0,82911,-gneE1,0.5,89,10,2
bot_0,83246,-gneE1,0.5,380,9,2
bot_0,83292,-gneE1,0.5,91,9,2
bot_0,83625,-gneE1,0.5,379,9,2
bot_0,83670,-gneE1,0.5,85,10,2
bot_0,84001,-gneE1,0.5,376,8,2
bot_0,84045,-gneE1,0.5,86,9,2
bot_0,84375,-gneE1,0.5,374,8,2
bot_0,84420,-gneE1,0.5,87,9,2
bot_0,84755,-gneE1,0.5,380,10,2
bot_0,84797,-gneE1,0.5,85,9,2
bot_0,85132,-gneE1,0.5,377,9,2
bot_0,85173,-gneE1,0.5,83,7,2
bot_0,85505,-gneE1,0.5,373,7,2
bot_0,85551,-gneE1,0.5,84,10,2
bot_0,85893,-gneE1,0.5,388,8,2
bot_0,85938,-gneE1,0.5,87,9,2
bot_0,86275,-gneE1,0.5,382,8,2
bot_0,86321,-gneE1,0.5,88,10,2
bot_0,86658,-gneE1,0.5,383,8,2
bot_0,86702,-gneE1,0.5,87,8,2
bot_0,87043,-gneE1,0.5,385,9,2
bot_0,87087,-gneE1,0.5,87,8,2
bot_0,87431,-gneE1,0.5,388,9,2
bot_0,87473,-gneE1,0.5,85,8,2
bot_0,87815,-gneE1,0.5,384,7,2
bot_0,87861,-gneE1,0.5,88,8,2
bot_0,88199,-gneE1,0.5,384,8,2
bot_0,88244,-gneE1,0.5,85,8,2
bot_0,88584,-gneE1,0.5,385,9,2
bot_0,88631,-gneE1,0.5,92,9,2
bot_0,88976,-gneE1,0.5,392,11,2
bot_0,89017,-gneE1,0.5,86,8,2
bot_0,89362,-gneE1,0.5,386,8,2
bot_0,89406,-gneE1,0.5,86,9,2
bot_0,89746,-gneE1,0.5,384,9,2
bot_0,89790,-gneE1,0.5,86,9,2
bot_0,90132,-gneE1,0.5,386,9,2
bot_0,90175,-gneE1,0.5,86,8,2
bot_0,90513,-gneE1,0.5,381,10,2
bot_0,90555,-gneE1,0.5,83,8,2
bot_0,90896,-gneE1,0.5,383,9,2
bot_0,90941,-gneE1,0.5,87,10,2
bot_0,91277,-gneE1,0.5,381,9,2
bot_0,91318,-gneE1,0.5,82,7,2
bot_0,91655,-gneE1,0.5,378,9,2
bot_0,91697,-gneE1,0.5,82,10,2
bot_0,92035,-gneE1,0.5,380,9,2
bot_0,92079,-gneE1,0.5,85,9,2
bot_0,92419,-gneE1,0.5,384,8,2
bot_0,92464,-gneE1,0.5,85,9,2
bot_0,92801,-gneE1,0.5,382,9,2
bot_0,92842,-gneE1,0.5,84,7,2
bot_0,93181,-gneE1,0.5,380,9,2
bot_0,93222,-gneE1,0.5,84,8,2
bot_0,93562,-gneE1,0.5,381,9,2
bot_0,93602,-gneE1,0.5,83,7,2
bot_0,93941,-gneE1,0.5,379,9,2
bot_0,93982,-gneE1,0.5,84,9,2
bot_0,94318,-gneE1,0.5,377,9,2
bot_0,94359,-gneE1,0.5,82,7,2
bot_0,94695,-gneE1,0.5,377,7,2
bot_0,94740,-gneE1,0.5,88,9,2
bot_0,95079,-gneE1,0.5,384,8,2
bot_0,95123,-gneE1,0.5,84,9,2
bot_0,95462,-gneE1,0.5,383,9,2
bot_0,95505,-gneE1,0.5,87,9,2
bot_0,95846,-gneE1,0.5,384,10,2
bot_0,95887,-gneE1,0.5,82,8,2
bot_0,96229,-gneE1,0.5,383,8,2
bot_0,96271,-gneE1,0.5,85,9,2
bot_0,96606,-gneE1,0.5,377,8,2
bot_0,96649,-gneE1,0.5,83,9,2
bot_0,96992,-gneE1,0.5,386,9,2
bot_0,97034,-gneE1,0.5,86,7,2
bot_0,97374,-gneE1,0.5,382,8,2
bot_0,97418,-gneE1,0.5,84,9,2
bot_0,97763,-gneE1,0.5,389,9,2
bot_0,97806,-gneE1,0.5,88,9,2
bot_0,98146,-gneE1,0.5,383,10,2
bot_0,98188,-gneE1,0.5,86,8,2
bot_0,98530,-gneE1,0.5,384,9,2
bot_0,98574,-gneE1,0.5,86,10,2
bot_0,98903,-gneE1,0.5,373,7,2
bot_0,98947,-gneE1,0.5,85,8,2
bot_0,99287,-gneE1,0.5,384,9,2
bot_0,99331,-gneE1,0.5,85,8,2
bot_0,99665,-gneE1,0.5,378,8,2
bot_0,99707,-gneE1,0.5,81,7,2
bot_0,100043,-gneE1,0.5,378,9,2
bot_0,100083,-gneE1,0.5,83,8,2
bot_0,100430,-gneE1,0.5,387,10,2
bot_0,100474,-gneE1,0.5,88,9,2
bot_0,100805,-gneE1,0.5,375,9,2
bot_0,100848,-gneE1,0.5,85,8,2
bot_0,101185,-gneE1,0.5,380,7,2
bot_0,101230,-gneE1,0.5,87,8,2
bot_0,101567,-gneE1,0.5,382,8,2
bot_0,101610,-gneE1,0.5,86,9,2
bot_0,101949,-gneE1,0.5,382,9,2
bot_0,101991,-gneE1,0.5,83,8,2
bot_0,102332,-gneE1,0.5,383,9,2
bot_0,102374,-gneE1,0.5,86,8,2
bot_0,102713,-gneE1,0.5,381,8,2
bot_0,102756,-gneE1,0.5,83,9,2
bot_0,103096,-gneE1,0.5,383,9,2
bot_0,103136,-gneE1,0.5,83,7,2
bot_0,103475,-gneE1,0.5,379,8,2
bot_0,103518,-gneE1,0.5,85,8,2
bot_0,103856,-gneE1,0.5,381,8,2
bot_0,103900,-gneE1,0.5,87,9,2
bot_0,104236,-gneE1,0.5,380,10,2
bot_0,104276,-gneE1,0.5,81,9,2
bot_0,104613,-gneE1,0.5,377,9,2
bot_0,104655,-gneE1,0.5,85,9,2
bot_0,105002,-gneE1,0.5,389,8,2
bot_0,105046,-gneE1,0.5,86,8,2
bot_0,105386,-gneE1,0.5,384,8,2
bot_0,105431,-gneE1,0.5,87,8,2
bot_0,105773,-gneE1,0.5,387,10,2
bot_0,105814,-gneE1,0.5,87,8,2
bot_0,106156,-gneE1,0.5,383,9,2
bot_0,106199,-gneE1,0.5,85,9,2
bot_0,106538,-gneE1,0.5,382,8,2
bot_0,106580,-gneE1,0.5,85,8,2
bot_0,106925,-gneE1,0.5,387,9,2
bot_0,106967,-gneE1,0.5,83,8,2
bot_0,107300,-gneE1,0.5,375,8,2
bot_0,107343,-gneE1,0.5,83,8,2
bot_0,107683,-gneE1,0.5,383,10,2
bot_0,107727,-gneE1,0.5,88,9,2
bot_0,108068,-gneE1,0.5,385,7,2
bot_0,108115,-gneE1,0.5,89,8,2
bot_0,108458,-gneE1,0.5,390,8,2
bot_0,108502,-gneE1,0.5,87,9,2
bot_0,108840,-gneE1,0.5,382,9,2
bot_0,108883,-gneE1,0.5,85,9,2
bot_0,109222,-gneE1,0.5,382,7,2
bot_0,109268,-gneE1,0.5,87,9,2
bot_0,109598,-gneE1,0.5,376,8,2
bot_0,109642,-gneE1,0.5,85,9,2
bot_0,109977,-gneE1,0.5,379,8,2
bot_0,110022,-gneE1,0.5,88,9,2
bot_0,110357,-gneE1,0.5,380,8,2
