time,edge,old node,possible nodes,probability (value_exp),value_coeff,expect,true,no.of neighbours
7910,gneE9,gneJ11,gneJ12,0.415837169459414,0.753276654868005,1318.33333333333,1996,2
7951,gneE9,gneJ11,gneJ12,0.213527872154931,-0.210627256589674,1135.85714285714,41,2
7993,gneE9,gneJ11,gneJ12,0.088677780074892,-0.210627256589674,1135.85714285714,42,2
8033,gneE9,gneJ11,gneJ12,0.118220668749343,-0.210627256589674,1135.85714285714,82,2
8074,gneE9,gneJ11,gneJ12,0.151955474854769,-0.210627256589674,1135.85714285714,123,2
8114,gneE9,gneJ11,gneJ12,0.193919610506721,-0.210627256589674,1135.85714285714,163,2
11668,gneE9,gneJ11,gneJ12,0.245151610841288,-0.210627256589674,1135.85714285714,3717,2
11709,gneE9,gneJ11,gneJ12,0.295086063816355,-0.210627256589674,1135.85714285714,3758,2
11749,gneE9,gneJ11,gneJ12,0.671567626855865,1.37546517680891,1468.625,3798,2
11791,gneE9,gneJ11,gneJ12,0.437169412614184,0.407523526397583,1310.11111111111,42,2
11831,gneE9,gneJ11,gneJ12,0.206642738599947,0.407523526397583,1310.11111111111,40,2
11872,gneE9,gneJ11,gneJ12,0.257573053607683,0.407523526397583,1310.11111111111,81,2
11911,gneE9,gneJ11,gneJ12,0.123697326183802,-0.491729265139652,1191.1,120,2
11953,gneE9,gneJ11,gneJ12,0.051211465526625,-1.45307788055001,1086.63636363636,42,2
11994,gneE9,gneJ11,gneJ12,0.019099926932691,-1.45307788055001,1086.63636363636,41,2
12034,gneE9,gneJ11,gneJ12,0.026318568598042,-1.45307788055001,1086.63636363636,81,2
12074,gneE9,gneJ11,gneJ12,0.035841690871555,-1.45307788055001,1086.63636363636,121,2
14618,gneE9,gneJ11,gneJ12,0.048233090024794,-1.45307788055001,1086.63636363636,2665,2
14661,gneE9,gneJ11,gneJ12,0.061133998122376,-1.45307788055001,1086.63636363636,2708,2
14701,gneE9,gneJ11,gneJ12,0.080426558848984,-1.45307788055001,1086.63636363636,2748,2
14741,gneE9,gneJ11,gneJ12,0.237401798205662,-0.183489657227304,1228.41666666667,2788,2
14781,gneE9,gneJ11,gneJ12,0.174141480979873,-0.183489657227304,1228.41666666667,40,2
18151,gneE9,gneJ11,gneJ12,0.218256851974147,-0.183489657227304,1228.41666666667,3410,2
18192,gneE9,gneJ11,gneJ12,0.268559039307846,-0.183489657227304,1228.41666666667,3451,2
18234,gneE9,gneJ11,gneJ12,0.320397483494023,-0.183489657227304,1228.41666666667,3493,2
